BorrowerID	total_loans	total_borrowed	balance	active	settled	defaults	delinquencies
8418	1	4521.36	0.0	0	1	0	0
8579	2	16888.5	5248.44	1	1	0	1
8697	1	4034.61	0.0	0	1	0	0
8710	1	5060.76	0.0	0	1	0	0
8904	1	4752.63	0.0	0	1	0	0
8957	1	3127.19	0.0	0	1	0	0
8982	1	5328.22	0.0	0	1	0	0
8998	1	4333.05	0.0	0	1	0	0
9021	1	3409.56	0.0	0	1	0	0
9090	1	11627.0	0.0	0	1	0	0
9159	1	3026.09	0.0	0	1	0	0
9259	1	3126.5	0.0	0	1	0	0
9268	1	3024.71	0.0	0	1	0	0
9274	1	3710.83	0.0	0	1	0	0
9278	1	3110.12	0.0	0	1	0	0
9288	1	4034.7	0.0	0	1	0	0
9290	3	21186.05	0.0	0	3	0	0
9313	1	3210.89	0.0	0	1	0	0
9326	1	3126.33	0.0	0	1	0	0
9330	1	3183.4	0.0	0	1	0	0
9336	1	3109.95	0.0	0	1	0	0
9372	1	3124.95	0.0	0	1	0	0
9386	2	4634.38	0.0	0	2	0	0
9448	1	4033.48	0.0	0	1	0	0
9467	1	3394.55	0.0	0	1	0	0
9473	1	4217.11	0.0	0	1	0	0
9515	1	3127.27	0.0	0	1	0	0
9605	1	3127.71	0.0	0	1	0	0
9633	1	3024.94	0.0	0	1	0	0
9647	1	3648.39	0.0	0	1	0	0
9719	1	3301.19	0.0	0	1	0	0
9795	1	4282.68	0.0	0	1	0	0
9850	1	3126.85	0.0	0	1	0	0
9886	1	3026.16	0.0	0	1	0	0
9891	1	3127.96	0.0	0	1	0	0
9907	1	4558.63	0.0	0	1	0	0
9918	1	3026.09	0.0	0	1	0	0
9930	3	14058.67	0.0	0	3	0	0
9959	1	3131.14	0.0	0	1	0	0
9979	2	7593.280000000001	0.0	0	2	0	0
10027	1	4142.8	0.0	0	1	0	0
10049	1	3110.89	0.0	0	1	0	0
10151	1	3126.5	0.0	0	1	0	0
10382	1	3026.12	0.0	0	1	0	0
10398	1	2173.58	0.0	0	1	0	0
10403	1	1864.83	0.0	0	1	0	0
10425	1	3162.66	0.0	0	1	0	0
10494	1	3081.98	0.0	0	1	0	0
10553	1	4283.96	0.0	0	1	0	0
10592	1	6399.08	0.0	0	1	0	0
10593	1	16786.5	13502.05	0	0	1	0
10596	1	4170.15	0.0	0	1	0	0
10612	2	7813.049999999999	0.0	0	2	0	0
10661	1	3330.77	125.94	0	0	1	0
10683	2	23606.07	2157.13	1	1	0	0
10728	1	3033.98	0.0	0	1	0	0
10792	1	5119.5	0.0	0	1	0	0
10866	1	4690.9	0.0	0	1	0	0
10907	1	1729.82	0.0	0	1	0	0
10962	1	4044.9	0.0	0	1	0	0
11026	1	3024.79	0.0	0	1	0	0
11104	1	4460.48	0.0	0	1	0	0
11106	1	4045.05	0.0	0	1	0	0
11127	1	4434.73	0.0	0	1	0	0
11130	1	3226.44	0.0	0	1	0	0
11136	1	3214.09	0.0	0	1	0	0
11185	1	3754.71	0.0	0	1	0	0
11328	1	3904.29	0.0	0	1	0	0
11358	2	6251.6	0.0	0	2	0	0
11374	1	4170.38	0.0	0	1	0	0
11396	1	3117.8	0.0	0	1	0	0
11417	1	6776.87	0.0	0	1	0	0
11446	1	4693.36	0.0	0	1	0	0
11463	1	3741.82	0.0	0	1	0	0
11518	1	4033.44	0.0	0	1	0	0
11567	2	6655.37	0.0	0	2	0	0
11580	1	3026.45	0.0	0	1	0	0
11633	1	4148.32	0.0	0	1	0	0
11646	1	3034.04	0.0	0	1	0	0
11760	1	3244.67	0.0	0	1	0	0
11790	1	3264.44	0.0	0	1	0	0
11830	1	3696.86	0.0	0	1	0	0
12109	1	3817.82	0.0	0	1	0	0
12123	2	6155.38	0.0	0	2	0	0
12130	1	3074.7	0.0	0	1	0	0
12382	1	4108.88	0.0	0	1	0	0
12408	1	4083.47	0.0	0	1	0	0
12422	1	5041.7	0.0	0	1	0	0
12456	1	2784.11	0.0	0	1	0	0
12470	1	11255.99	10131.64	0	0	1	0
12502	1	5128.69	0.0	0	1	0	0
12515	1	3216.99	0.0	0	1	0	0
12516	1	3098.05	0.0	0	1	0	0
12785	1	5038.93	0.0	0	1	0	0
12814	1	4753.1	0.0	0	1	0	0
12915	1	13899.6	4258.91	1	0	0	0
12933	1	5040.02	0.0	0	1	0	0
12936	1	5317.23	0.0	0	1	0	0
12978	1	5040.36	0.0	0	1	0	0
13072	1	3382.01	0.0	0	1	0	0
13112	1	1133.9	0.0	0	1	0	0
13289	1	3145.7	0.0	0	1	0	0
13353	1	3201.4	0.0	0	1	0	0
13360	1	5236.1	0.0	0	1	0	0
13383	1	4598.03	0.0	0	1	0	0
13469	1	3290.09	0.0	0	1	0	0
13653	2	6622.049999999999	0.0	0	2	0	0
13659	1	3065.13	0.0	0	1	0	0
13812	1	3084.87	0.0	0	1	0	0
13909	1	2285.32	0.0	0	1	0	0
14229	1	3110.78	0.0	0	1	0	0
14281	1	3173.5	0.0	0	1	0	0
14358	2	10942.18	0.0	0	2	0	0
14379	1	5183.08	0.0	0	1	0	0
14400	1	4244.52	0.0	0	1	0	0
14413	1	2625.0	2456.72	1	0	0	0
14488	1	6140.48	0.0	0	1	0	0
14497	1	3072.85	0.0	0	1	0	0
14523	1	3148.01	0.0	0	1	0	0
14528	1	3537.3	329.82	1	0	0	0
14571	1	3118.61	0.0	0	1	0	0
14573	3	12900.27	2463.44	1	2	0	0
14593	2	10101.939999999999	0.0	0	2	0	0
14601	1	3118.61	0.0	0	1	0	0
14626	1	8513.24	0.0	0	1	0	0
14763	1	3170.63	0.0	0	1	0	0
